scat_number,date,time,volume
0970,10/1/2006,00:00,65.5
0970,10/1/2006,00:15,62.0
0970,10/1/2006,00:30,49.75
0970,10/1/2006,00:45,44.0
0970,10/1/2006,01:00,44.25
0970,10/1/2006,01:15,35.5
0970,10/1/2006,01:30,29.75
0970,10/1/2006,01:45,25.25
0970,10/1/2006,02:00,21.25
0970,10/1/2006,02:15,19.5
0970,10/1/2006,02:30,18.752846
0970,10/1/2006,02:45,18.5
0970,10/1/2006,03:00,18.5
0970,10/1/2006,03:15,20.25
0970,10/1/2006,03:30,14.5
0970,10/1/2006,03:45,11.75
0970,10/1/2006,04:00,15.25
0970,10/1/2006,04:15,15.5
0970,10/1/2006,04:30,13.75
0970,10/1/2006,04:45,10.0
0970,10/1/2006,05:00,11.75
0970,10/1/2006,05:15,14.5
0970,10/1/2006,05:30,15.0
0970,10/1/2006,05:45,19.5
0970,10/1/2006,06:00,16.5
0970,10/1/2006,06:15,27.25
0970,10/1/2006,06:30,45.0
0970,10/1/2006,06:45,35.0
0970,10/1/2006,07:00,34.25
0970,10/1/2006,07:15,40.5
0970,10/1/2006,07:30,50.25
0970,10/1/2006,07:45,53.0
0970,10/1/2006,08:00,50.0
0970,10/1/2006,08:15,62.25
0970,10/1/2006,08:30,76.0
0970,10/1/2006,08:45,94.0
0970,10/1/2006,09:00,102.5
0970,10/1/2006,09:15,106.0
0970,10/1/2006,09:30,148.25
0970,10/1/2006,09:45,162.25
0970,10/1/2006,10:00,165.75
0970,10/1/2006,10:15,181.5
0970,10/1/2006,10:30,187.5
0970,10/1/2006,10:45,186.0
0970,10/1/2006,11:00,196.25
0970,10/1/2006,11:15,205.5
0970,10/1/2006,11:30,212.5
0970,10/1/2006,11:45,231.5
0970,10/1/2006,12:00,249.0
0970,10/1/2006,12:15,241.75
0970,10/1/2006,12:30,220.0
0970,10/1/2006,12:45,228.0
0970,10/1/2006,13:00,233.25
0970,10/1/2006,13:15,221.25
0970,10/1/2006,13:30,205.0
0970,10/1/2006,13:45,216.25
0970,10/1/2006,14:00,240.25
0970,10/1/2006,14:15,209.75
0970,10/1/2006,14:30,204.0
0970,10/1/2006,14:45,201.25
0970,10/1/2006,15:00,205.25
0970,10/1/2006,15:15,196.75
0970,10/1/2006,15:30,207.0
0970,10/1/2006,15:45,200.0
0970,10/1/2006,16:00,197.75
0970,10/1/2006,16:15,224.25
0970,10/1/2006,16:30,221.75
0970,10/1/2006,16:45,224.5
0970,10/1/2006,17:00,227.75
